SISAIRE;;;;;;;;;;;;;;;;;
SABANA DE INFORMACIÓN DE SISAIRE;;;;;;;;;;;;;;;;;
Fecha de procesamiento :23/05/2026, 11:09:37 AM;;;;;;;;;;;;;;;;;
SECCION CONSULTA DE MEDICIONES;;;;;;;;;;;;;;;;;
REPORTE GENERADO ENTRE 2014-01-01 - 2026-03-31;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Estacion;Fecha inicial;Fecha final;PM2.5;;;;;;;;;;;;;;
KENNEDY;2025-03-20;;17.29166667;;;;;;;;;;;;;;
KENNEDY;2025-03-19;;19.98333333;;;;;;;;;;;;;;
KENNEDY;2025-03-18;;16.19130435;;;;;;;;;;;;;;
KENNEDY;2025-03-17;;14.6;;;;;;;;;;;;;;
KENNEDY;2025-03-16;;17.25833333;;;;;;;;;;;;;;
KENNEDY;2025-03-15;;22.33333333;;;;;;;;;;;;;;
KENNEDY;2025-03-14;;14.625;;;;;;;;;;;;;;
KENNEDY;2025-03-13;;24.24166667;;;;;;;;;;;;;;
KENNEDY;2025-03-12;;12.29166667;;;;;;;;;;;;;;
KENNEDY;2025-03-11;;38.2875;;;;;;;;;;;;;;
KENNEDY;2025-03-10;;29.875;;;;;;;;;;;;;;
KENNEDY;2025-03-09;;26.05416667;;;;;;;;;;;;;;
KENNEDY;2025-03-08;;27.04166667;;;;;;;;;;;;;;
KENNEDY;2025-03-07;;30.3125;;;;;;;;;;;;;;
KENNEDY;2025-03-06;;16.57083333;;;;;;;;;;;;;;
KENNEDY;2025-03-05;;15.64;;;;;;;;;;;;;;
KENNEDY;2025-03-04;;35.825;;;;;;;;;;;;;;
KENNEDY;2025-03-03;;23.35833333;;;;;;;;;;;;;;
KENNEDY;2025-03-02;;18.74166667;;;;;;;;;;;;;;
